Reactant ID,Reactant SMILES,Product ID,Product SMILES,Catalyst ID,Catalyst Designation,Standard Catalyst Mixture,Mixture Change Note,Solvent 1 ID,Solvent 1 SMILES,Solvent 2 ID,Solvent 2 SMILES,Sol1_Sol2_Ratio,Oxidant ID,Oxidant SMILES,Oxidant Solution ID,Oxidant Solution SMILES,Ox/Ox_Sol,Additive ID,Additive SMILES,Temperature ©,Time,Yield (%),ee (%),er,ddG er (kcal/mol),Multiple Stereocenters,de (%),dr,ddG dr (kcal/mol),Olefin Type,DOI,Additional Notes
react_29,C=CCCCCCCCCCCCCCCCC(=O)OC,prod_41,COC(=O)CCCCCCCCCCCCCCC[C@@H](O)CO,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,24,90,84,11.5,1.325612221,No,,,,Mono,10.1016/S0040-4039(00)79197-0,
react_30,C=Cc1cc(OCc2ccccc2)c(OC)c(OCc2ccccc2)c1,prod_42,COc1c(OCc2ccccc2)cc([C@H](O)CO)cc1OCc1ccccc1,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,25,20,97,87,14.38461538,1.579533433,No,,,,Mono,10.1002/anie.199519731,
react_31,CCOC(=O)/C=C/C(C)C,prod_43,CCOC(=O)[C@H](O)[C@@H](O)C(C)C,cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,96,95,92,24,1.724925629,Yes,,,,Trans,10.1016/S0957-4166(99)00302-X,
react_31,CCOC(=O)/C=C/C(C)C,prod_44,CCOC(=O)[C@@H](O)[C@H](O)C(C)C,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,96,95,92,24,1.724925629,Yes,,,,Trans,10.1016/S0957-4166(99)00302-X,
react_32,[2H]/C=C/COC(=O)c1ccccc1,prod_45,[2H][C@@H](O)[C@H](O)COC(=O)c1ccccc1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,0,4,93,74,6.692307692,1.031767447,Yes,,,,Trans,10.1016/S0957-4166(97)00219-X,
react_33,CCCCC/C=C/C(=O)OCC,prod_46,CCCCC[C@@H](O)[C@H](O)C(=O)OCC,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,,,2,24,89,95,39,2.002999966,Yes,,,,Trans,10.1016/S0957-4166(97)00125-0,
react_34,CC/C=C/C(=O)CCC1(C)OCCO1,prod_47,CC[C@@H](O)[C@H](O)C(=O)CCC1(C)OCCO1,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,2,16,75,95,39,2.002999966,Yes,,,,Trans,10.1002/0471264180.or066.02,
react_35,CCC/C=C/C[Se]c1ccccc1[N+](=O)[O-],prod_48,CCC[C@@H](O)[C@H](O)C[Se]c1ccccc1[N+](=O)[O-],cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,24,78,94,32.33333333,1.886692938,Yes,,,,Trans,10.1016/S0040-4039(97)00596-0,
react_35,CCC/C=C/C[Se]c1ccccc1[N+](=O)[O-],prod_49,CCC[C@H](O)[C@@H](O)C[Se]c1ccccc1[N+](=O)[O-],cat_0,alpha,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,0,24,53,86,13.28571429,1.403955686,Yes,,,,Trans,10.1016/S0040-4039(97)00596-0,
react_36,CCCCC/C=C/C(=O)OC(C)(C)C,prod_50,CCCCC[C@@H](O)[C@H](O)C(=O)OC(C)(C)C,cat_1,beta,Yes,,sol1_0,CC(C)(C)O,sol2_0,O,1,ox_0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[Fe+3].[K+].[K+].[K+],,,,adtv_0,CS(N)(=O)=O,2,24,89,85,12.33333333,1.373567191,Yes,,,,Trans,10.1016/S0040-4020(01)86219-0,
