,b1,b5,l,vol,espmin,espmax
react_81_c2_frag_0,3.1296815103354256,3.1298144721866454,3.6291607705586415,30.786258249389366,56.077507065546605,142.07252247992372
react_82_c2_frag_0,1.70436350335599,3.2007894545342914,5.791374125983617,0.0036025644582592603,46.865684124869006,148.61964679179962
react_87_c1_frag_0,1.6818744451828316,5.161724816862622,6.0186719212316495,49.65578278383204,42.98770108333345,135.3114185686359
react_87_c2_frag_0,1.6912990635422063,6.4902482038616895,6.849331835933551,58.985271800369574,34.36540559301433,149.31614245553834
react_87_c2_frag_1,1.6890860978431983,5.75443743828035,6.492002431839779,58.54358163678897,13.778980994984622,144.9883946376368
react_88_c1_frag_0,1.6670250530290533,2.33122292455846,3.501708646879147,11.819901946522489,46.39325665577725,149.1745942033518
react_88_c1_frag_1,1.6890371020320165,5.754509236288855,6.491892314608428,58.5436204139023,15.448858930378956,140.8566202231871
react_88_c2_frag_0,1.692038328562705,5.002454951168648,5.818658238823629,3.498117806130947,26.397960975021853,147.46488930872613
react_101_c2_frag_0,1.6647375893670218,1.6649027863951686,2.354478164915416,5.651586761689909,66.93469748451034,150.2527770824289
react_101_c2_frag_1,1.6565242013584855,6.441369782555654,6.091844647742078,64.82189121990675,37.10324973756813,146.56614677837018
react_105_c2_frag_0,1.6647606590338189,1.6648468871168385,2.3544541106940757,5.651166491951179,66.96569695428651,148.59751472108084
react_105_c2_frag_1,1.6591952482084005,2.9074272560072636,2.9071602337897966,12.204073410496541,51.06209973299217,156.41318305904775
react_106_c2_frag_0,1.664747076034625,1.664870740408032,2.3544160020132607,5.651141500960903,66.92258824603421,151.03889477804722
react_106_c2_frag_1,2.1780189239251615,2.178272201353085,2.725172278003609,11.197074097389208,50.3100483969288,164.50944282083654
react_114_c2_frag_0,1.664799701682082,1.6648960121492908,2.35441500831142,5.651562106794101,66.78448094202092,148.10322733212698
react_114_c2_frag_1,1.6866599141280407,6.041673348219741,7.550745075153592,51.747931927078135,7.763104505288568,143.59881325936485
react_133_c2_frag_0,1.656380472073217,7.426642375339601,4.941505162707959,58.25893450178604,33.4758073188935,149.0350697947047
react_133_c2_frag_1,1.6822912706773956,3.092038536823817,3.6950935824887154,19.080748490260635,59.02398449158742,143.66112953045567
react_179_c2_frag_0,1.6439922578978892,3.20103557020094,2.943687153719099,13.64473385598698,65.85228676038587,156.4139794940658
react_180_c2_frag_0,1.6618926313114963,2.9097453148192627,2.9041928011443767,12.251222678990949,51.09500990635051,161.7410360785989
react_181_c2_frag_0,2.178104215908671,2.1782159244966617,2.725091500480173,11.196912460941325,50.61066628344623,160.3982093013451
react_182_c2_frag_0,2.9305847228718878,2.9308507514516444,2.8762986223561042,21.395852478738377,54.91090151343799,157.50810663573884
react_183_c2_frag_0,1.659259203390896,2.9073511518422377,2.9073073978990913,12.204313715012395,50.62361374907105,153.68769470144045
react_184_c2_frag_0,1.6647976662825685,1.6648938895561978,2.354396275549402,5.651413582915598,67.48017747245088,148.33959496337013
react_185_c2_frag_0,1.6821086279444826,3.0920129033973023,3.695076683378178,19.078525199444563,55.717908685524606,149.68567776175666
react_186_c2_frag_0,3.366972628714138,3.3670942717827907,4.114136366904165,31.280904202316894,49.617499391244415,139.83614738194362
react_187_c2_frag_0,1.6833908324629312,7.556529359410485,3.716068005656883,46.58115306632889,14.069909696044066,146.79750305624296
react_188_c1_frag_0,1.6832388555425017,5.734969172393195,4.117683111100521,39.578074009532706,-2.863366620664378,150.31433387880938
react_189_c2_frag_0,1.6972008014062556,3.8416779897110906,4.702604579213309,6.5774191755854465,48.70407094303073,146.87741965016937
react_190_c2_frag_0,1.6798695895039821,5.173165559261518,4.272379584726734,34.85593897837241,37.12513783260537,139.74089332707786
react_192_c2_frag_0,3.3297234350440146,4.7993224785004065,5.081939549916073,50.94142496107247,45.36875859229394,143.75214406859797
react_200_c2_frag_0,1.3262190735315995,2.9110036709965477,8.589832736561533,10.537393308125862,39.18230425836026,148.16567958451975
react_201_c2_frag_0,1.2921545768403324,7.45466215780552,6.4039389362585535,59.139078136537556,29.472795776701357,148.92914255678258
react_212_c2_frag_0,1.732812532771013,5.311770314952694,3.581287953728335,3.1644037822895776,40.612374430100495,144.80378894472156
react_217_c2_frag_0,3.2452575086563753,4.905670628891593,5.252107438191559,82.12307534005973,45.73784146418514,140.91356131091743
react_223_c2_frag_0,1.6837988166945197,6.377431623959755,6.517313395752048,35.57256229635273,38.98762358716551,141.80596009704746
react_226_c2_frag_0,3.1236062576646635,3.150210780627904,5.811882632196162,23.231735572117337,45.84702051892657,145.2005380815915
react_247_c2_frag_0,1.6859546192176402,15.78531251972969,12.438246821499042,282.84536052648156,15.234244165882478,144.37173919992208
