,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_178,2.279725533549887,3.722671431650544,8.166651276561431,32.39044793659279,15.882428942368984,146.14686967505747,1.66479953254468,1.664827832005517,2.354453975698679,5.651404140419659,67.23142838912393,147.45123570669583,-5.6862,-0.7308,-0.23228,-0.17867,5.78,5.71,3.27,-0.26674,0.0255,175.997625,7.01225,81.017375,106.92675,18.47125,24.900875000000003,2.2670000000000003,0.0,0.0,0.0,120.295625,46.17325,41.188875,57.77475,105.5215,20.264375,23.10775,2.2670000000000003,0.0,0.0,0.5261534118295111
react_576,1.6569572480830517,8.250440528284608,3.3784356901516635,42.31619129950956,23.080178917063897,149.03052129231864,1.6566278966147343,2.8625200914516102,2.72278535633113,12.846198554179464,30.80828483473035,155.63374978254603,-6.4341,-0.1065,-0.24916,-0.21832,6.59,5.79,4.52,-0.23656,0.04864,127.70996551724124,51.77427586206896,62.33472758620683,45.53291379310345,41.65880689655171,25.675958620689656,7.501151724137929,0.5353758620689656,0.0,0.0,129.75263103448262,34.19602068965514,53.44847241379312,47.31967931034484,42.82263103448276,36.67656896551725,16.105955172413804,2.268,0.1332172413793103,0.0,0.7629581509826391
react_578,1.656347782379378,6.857249033974375,6.119781188774286,48.04042931099964,23.520151345415183,147.6466087718387,1.6789192654971716,3.150190306615059,4.491752205728456,20.55516621294344,49.31462209413289,143.9593700973498,-6.5256,-0.1294,-0.21897,-0.23149,5.77,4.38,4.04,-0.23817,0.04647,127.76455036855026,56.12850122850118,77.92357493857497,51.193886977886976,39.86115233415234,25.689375921375923,7.859724815724812,0.5643390663390663,0.0,0.0,128.26969778869773,42.33465356265357,68.78039803439798,46.98872727272732,44.76242014742017,29.93088452088452,20.366535626535637,5.14832678132678,0.4034619164619164,0.0,0.2542181063417676
react_595,2.4336832026656703,3.722773915910543,7.980736005543945,64.32120683320342,16.3560190610049,148.9481703381582,1.6647671524306882,1.664776618749317,2.354410173464339,5.65099331045016,67.02870913337846,150.4467298426396,-6.2371,-1.1598,-0.23661,-0.16622,5.9,5.71,3.24,-0.28184,0.00474,174.71268750000002,7.82425,78.0126875,207.3993125,20.7765625,22.775,2.23125,0.0,0.0,0.0,119.736375,42.8873125,39.643437500000005,58.2825,207.3993125,27.06425,16.9059375,1.812625,0.0,0.0,2.441775442278099
react_65,2.476043145606216,5.558141054785208,3.466397617411266,23.944875767411016,36.399776168534125,149.63710551681064,1.66695359860866,2.3311688850832986,3.501861657468848,11.818861190508754,31.23019446576742,152.1728669512243,-6.1682,-0.4006,0.15178,-0.33592,7.31,5.93,3.86,-0.24626,0.03857,123.26224193548389,50.22598387096774,63.05380645161289,42.660790322580645,40.54570967741936,14.124370967741935,1.258290322580645,0.0,0.0,0.0,126.50261290322582,20.082645161290323,38.03493548387097,57.227064516129005,45.30079032258063,30.779951612903226,15.618354838709674,1.5848387096774197,0.0,0.0,0.7629581510315863
react_66,2.475802136232453,5.558219494462928,3.4660723709511654,23.93432977269453,31.253126297304448,143.934475102439,1.6570304860275924,4.238164989146187,2.7579010212722777,18.90924790162563,41.67303165996884,146.38665911543507,-6.0408,-0.3429,0.15416,-0.30711,4.62,4.18,3.63,-0.24315,0.04223,122.98152,57.604720000000015,73.19717,52.45880999999999,43.43965,8.613090000000005,1.0436899999999998,0.0,0.0,0.0,124.83763,44.51987000000001,51.10128000000002,55.96878,42.626160000000006,28.286199999999997,10.703270000000002,1.2954600000000005,0.0,0.0,0.25421810620497404
react_479,4.046391785183064,13.026516553032833,6.91569627445862,100.4244242542396,18.57649011974603,143.59298030784672,1.664811662961983,1.6648888944190936,2.3544659106735613,5.651640731612804,66.96436776372927,146.79731235611533,-6.2396,-1.178,-0.25537,-0.1529,7.18,6.29,5.56,-0.37329,0.02215,165.43509142857144,68.53732571428574,105.74464571428572,93.01890285714282,50.85950857142858,30.61018285714288,12.409485714285712,3.390057142857144,2.982474285714286,4.162565714285716,120.84262857142856,70.44630857142853,83.97399428571428,97.62725714285716,77.45592571428573,47.18465714285716,21.77799428571429,9.496337142857143,2.3428342857142863,6.002302857142856,0.31800194762587214
react_480,4.041544724175024,11.87790224167126,5.712456599663021,158.95773717140142,16.085025457262333,143.4928086495252,1.6647825724482497,1.6648854185292985,2.354410455929304,5.651272237951659,66.75494626759824,149.4686965335507,-6.0953,-1.0426,-0.23472,-0.17066,5.73,5.67,3.03,-0.38122,0.01707,165.87478571428576,50.966191964285706,87.34749107142851,109.2399419642858,53.5501205357143,32.12532589285714,17.170687500000003,9.377383928571424,3.7305669642857135,7.791611607142859,120.82916964285708,48.29572767857145,76.64323660714285,100.87445535714278,89.83850892857141,51.17592410714285,25.269531249999996,11.058758928571432,4.810888392857144,8.377906249999999,0.17839583554051688
react_553,1.6845250856166507,4.498160148003935,3.712571392101183,24.008233699767544,48.66942677275671,146.64005572214228,1.5338155050313398,3.040696878362356,4.850257550839588,0.0004431165634424,53.298608176734426,139.33683320288648,-5.9267,-0.5011,-0.20285,-0.24757,4.02,3.64,3.64,-0.25265,0.05824,147.352,5.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.675,6.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4342740434415082
react_554,1.6909622182688655,4.513358465466453,4.694491358202302,30.541992785636698,47.57977935843193,147.43007539714074,1.5446165292147478,4.189221578158256,4.893855563921025,8.83997924420886,53.00870306912082,142.75942578291554,-5.6425,-0.4071,-0.20944,-0.23925,4.06,3.53,3.53,-0.24568,0.06982,147.0355,2.7155,29.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.334,4.417,29.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869551247139095
react_555,1.6772089387078837,7.1396555356268125,3.902597761163192,46.55193052742617,29.09774623102417,144.32511800741705,1.5506949943437425,4.225946712052333,8.251803181905274,11.94274857383352,39.5150435388335,141.03446500358143,-5.4573,-1.2832,-0.19182,-0.24104,4.02,3.64,3.63,-0.24136,0.04332,146.468,2.643,59.317,31.428,57.498000000000005,34.035,2.63,0.0,0.0,0.0,144.772,4.339,59.222,31.523,57.498000000000005,34.035,2.63,0.0,0.0,0.0,2.8730026748254267
react_556,2.10556718373084,4.179117283769069,3.672695290137041,19.687938899852053,51.7980625420327,145.7666284297885,1.5261352410913445,5.607145541663551,3.894722100437088,3.5054427646121966,44.2380138885688,146.92827402155228,-5.7373,-0.5651,-0.21019,-0.24357,4.08,3.36,3.26,-0.24551,0.0623,185.119,14.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.74,2.597,52.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640616279961644
