,b1_0,b5_0,l_0,vol_0,espmin_0,espmax_0,b1_1,b5_1,l_1,vol_1,espmin_1,espmax_1,b1_2,b5_2,l_2,vol_2,espmin_2,espmax_2,homo,lumo,nat_charge_1,nat_charge_2,pert_1,pert_2,pert_3,pi_orb,pi*_orb,disp_1_0,disp_2_0,disp_3_0,disp_4_0,disp_5_0,disp_6_0,disp_7_0,disp_8_0,disp_9_0,disp_10_0,disp_1_1,disp_2_1,disp_3_1,disp_4_1,disp_5_1,disp_6_1,disp_7_1,disp_8_1,disp_9_1,disp_10_1,ddG er (kcal/mol)
react_500,1.6833611852489585,5.717244298994763,3.716041369258445,35.628825636273184,47.56315230278279,143.38182117524505,1.6866190046647949,4.34284420938296,5.710109085576525,29.05174769603485,43.02833363922109,147.86474424096195,0.0144723664058274,4.348264097792466,6.066784459437852,0.0112084201495305,47.971861770131866,142.3754610219594,-6.3352,-0.5492,-0.04891,-0.18866,6.17,5.57,4.39,-0.25172,0.03418,213.3931428571429,139.9575714285714,89.27171428571428,7.185428571428571,0.0,0.0,0.0,0.0,0.0,0.0,157.585,142.03271428571426,81.17214285714284,64.19828571428572,4.819714285714285,0.0,0.0,0.0,0.0,0.0,0.7191186577420285
react_9,1.685132676678512,4.340028984173875,5.303986253662663,33.06385082369706,35.60816870632624,154.34656175987058,1.6872929296276784,3.251628675072707,6.0084302659126445,29.52430653488755,46.68138465657466,146.5704944149752,1.6872929296276784,3.251628675072707,6.0084302659126445,29.52430653488755,46.68138465657466,146.5704944149752,-7.2239,-0.9878,-0.34627,-0.11678,5.53,5.13,5.02,-0.36906,0.02406,147.41598952879585,22.13775392670157,71.29771727748692,33.88168586387435,11.356560209424098,1.0422931937172777,0.0,0.0,0.0,0.0,131.97652879581148,56.001282722513125,41.44534554973823,46.55928272251309,10.602319371727754,0.547240837696335,0.0,0.0,0.0,0.0,2.720807499049638
react_10,1.221947020112807,3.76318822615562,5.573531850477958,25.52046117000097,36.183232439929945,157.36786008919478,0.0002630113933973,3.10180603620802,6.063097393626263,0.0025483733876846,48.63277676846502,140.99889990041072,0.0002630113933973,3.10180603620802,6.063097393626263,0.0025483733876846,48.63277676846502,140.99889990041072,-6.5063,-1.8819,-0.30538,-0.14888,5.69,4.37,3.04,-0.25375,0.03116,154.20525,28.72175,97.3285,74.625,6.1455,0.0,0.0,0.0,0.0,0.0,170.97775,33.846500000000006,104.82775,41.01225,9.7815,0.58025,0.0,0.0,0.0,0.0,2.3247711365055785
react_11,0.0003466756326399,3.101760311437729,6.063190805160523,0.0064582936020646,49.305806213602914,142.6682737574486,0.0001016885249984,3.101745604665468,6.063033441367072,0.0017360811754806,48.99214610753084,144.8491473371712,0.0001016885249984,3.101745604665468,6.063033441367072,0.0017360811754806,48.99214610753084,144.8491473371712,-5.6644,-1.5691,-0.19145,-0.1914,4.71,2.96,2.96,-0.24601,0.04234,179.9755,32.689,146.4325,67.89949999999999,5.2115,0.0,0.0,0.0,0.0,0.0,178.6755,49.71000000000001,116.339,82.28299999999999,5.2005,0.0,0.0,0.0,0.0,0.0,3.2505783702049342
react_260,1.6647031266022705,1.664816124443124,2.354564998782291,5.651226210855654,66.77324707925405,152.78849245764752,1.6827883155253218,5.250174355772975,3.7093863214876848,4.570328036740578,23.73680357040656,142.38712930953167,1.6647031266022705,1.664816124443124,2.354564998782291,5.651226210855654,66.77324707925405,152.78849245764752,-6.2736,-0.3325,-0.01518,-0.22104,6.3,4.46,4.36,-0.37345,0.02684,143.07736363636363,26.74580519480519,39.918376623376645,22.01336363636364,13.48267532467533,1.0600389610389611,0.0,0.0,0.0,0.0,155.16114285714286,52.96297402597403,28.547467532467536,8.954857142857144,0.6711818181818181,0.0,0.0,0.0,0.0,0.0,1.6961981605806673
react_261,1.6981246540835977,3.1110223169423947,3.662333505757915,19.284105798099123,55.80242561411918,147.53360027781176,1.664827167932606,1.6648722103527065,2.354437619151774,5.651504658732089,66.91738456101157,149.998611964875,1.703141056914443,3.1368804487341104,4.501180355622823,16.571191611634625,37.0369062989581,151.71802869805052,-6.8475,-0.9129,-0.1572,-0.11403,6.54,4.9,4.85,-0.37011,0.02232,211.88885714285712,21.61142857142857,26.674857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.37371428571427,80.14957142857143,30.131714285714285,17.232857142857142,1.287285714285714,0.0,0.0,0.0,0.0,0.0,1.48085575637591
react_262,1.648057597790216,5.480472455183652,3.589641755583442,32.132026964191866,13.03196341437967,153.2343469715084,1.6479485423674471,5.480560061088315,3.5893895776032965,32.12818217318194,13.522697719218138,153.59038003098038,1.6648095631367772,1.6648752233521924,2.354443140992845,5.651289887000984,67.23623498615459,151.16381622558842,-7.0153,-0.1628,-0.23187,-0.02808,6.28,4.86,4.03,-0.38226,0.01602,146.25136734693876,63.38798979591838,53.51070408163263,38.74802040816328,14.799428571428567,1.1298265306122448,0.0,0.0,0.0,0.0,151.07569387755103,55.68406122448982,60.96035714285714,35.15782653061224,14.175285714285716,0.7741122448979592,0.0,0.0,0.0,0.0,1.1925691598929764
react_263,1.6839139318108578,5.957714042406421,3.715548167254753,17.82660362525552,29.5507730526138,143.3320665142066,1.664811128430567,1.6648829073398348,2.3544208887433893,5.651457251637837,66.93410643334148,147.52630786477062,1.664813126825637,1.6648847203817003,2.3544499573392605,5.651745908142163,66.9398123769431,152.6282818856001,-6.3138,0.376,-0.01998,-0.22478,6.31,4.46,4.35,-0.38667,0.03142,160.73512000000002,46.69344000000001,25.94528,22.08616,4.34152,0.35312,0.0,0.0,0.0,0.0,136.74199999999996,51.5696,35.44520000000001,24.56708,8.5468,3.19592,0.08804,0.0,0.0,0.0,1.988440635339029
react_264,1.6479909095489047,5.480444331727897,3.589736235128566,32.13109332762931,28.72276734291319,146.91995713655203,1.64788864505926,5.48043086742689,3.5896203622010456,32.12804842118259,28.32143406111937,150.34500616514842,1.6647439990170696,1.664909315293603,2.354489661698011,5.651451981048044,66.79554129841964,148.61917641070167,-7.0505,-0.2568,-0.23335,-0.02198,6.29,4.38,4.33,-0.38483,0.01373,146.27683157894737,66.07387368421054,53.009684210526295,37.8482947368421,13.586357894736835,1.0236105263157895,0.0,0.0,0.0,0.0,151.16702105263164,53.37174736842106,64.4409263157895,31.12651578947369,16.76877894736843,0.9436631578947364,0.0,0.0,0.0,0.0,1.1925691598929764
react_266,1.6822189102318184,3.092001331360257,3.695134653375363,19.080043533985243,56.11553263334528,149.06648536600974,0.0623061507367824,3.693454873293568,6.0657772017669,0.0038673221638885,47.388009389909136,142.84605741842063,1.6821458783111247,3.091933342474467,3.695137953384792,10.822972895437406,55.92169928818652,149.5823921504462,-6.0415,-1.0634,0.00219,-0.23758,8.22,8.13,7.84,-0.26439,0.02873,141.13723076923077,46.484153846153845,36.30430769230769,73.73592307692307,4.621461538461539,0.0,0.0,0.0,0.0,0.0,177.69815384615384,30.54176923076923,86.88615384615385,7.157000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.9288188639815158
react_267,1.6822079861965242,3.0919873190687195,3.695127493848069,10.824516730356976,55.60438801826906,146.087957642836,0.0129565008310017,3.121019545222357,6.066279598823707,0.0050147376944965,32.84553285492024,148.76180466943526,1.6822203285537032,3.0920470760311334,3.695138580558524,10.823634879829283,55.48991629766231,148.78390956899406,-6.1412,-1.174,-0.0046,-0.22564,8.46,8.22,7.9,-0.26341,0.03118,141.0095263157895,47.07947368421052,28.628894736842103,72.7866842105263,12.774947368421053,0.1217368421052631,0.0,0.0,0.0,0.0,188.5731052631579,15.218947368421054,82.37231578947367,16.236894736842103,0.0,0.0,0.0,0.0,0.0,0.0,1.2532961283830708
react_268,1.682212408948736,3.092076193101536,3.694983046097839,10.824990920219488,58.90163238156706,147.74397966714722,1.8152410866195992,3.105097068226408,6.672620571704237,0.0046301452628973,30.681763802801747,144.23033125885283,1.6821706364487914,3.092000372587105,3.6951761290256817,10.822451804106375,55.78768736197172,145.14761757253098,-5.9583,-0.9936,-0.01321,-0.22275,8.53,8.27,7.98,-0.25341,0.03504,142.34666666666666,40.07433333333333,40.33833333333333,65.66133333333333,2.285333333333333,11.552,0.0,0.0,0.0,0.0,178.25366666666665,25.030666666666665,82.85633333333334,4.565333333333334,11.552,0.0,0.0,0.0,0.0,0.0,1.1519891172760799
react_269,1.6822595333346504,3.092002308957768,3.6951290260783343,19.080536708715577,58.9995616348011,151.19586037312857,0.0007707776113691,3.102967386118108,7.612010375107315,0.0165419060871627,50.142159556267735,144.06629018075375,1.6821951089734437,3.091987082083877,3.6951224198470727,19.07951825682523,55.68695916550217,147.2394880329632,-5.9988,-1.216,-0.00697,-0.22515,8.49,8.23,7.93,-0.26664,0.01874,142.19733333333332,40.074666666666666,40.13766666666667,67.037,2.3363333333333336,189.749,0.0,0.0,0.0,0.0,170.92033333333333,32.22833333333333,83.96633333333332,4.668,189.749,0.0,0.0,0.0,0.0,0.0,1.1043900665606596
react_270,1.6821500129232525,3.0919514062410545,3.695079569808855,19.078553139114,59.152349083584994,149.82420574811798,0.0003167672758716,3.103365291576687,7.343108936875784,0.0053060957777918,38.06404260050193,146.0537178396638,1.6822034100719694,3.0920224331155923,3.6951087572507264,10.823545875150373,55.76820940530301,147.59226745583842,-5.9839,-1.1662,-0.00854,-0.22461,8.5,8.24,7.94,-0.26658,0.01937,141.27916666666667,45.58100000000001,30.906166666666667,71.63283333333332,2.2836666666666665,104.89966666666668,0.0,0.0,0.0,0.0,184.25216666666668,19.0125,83.84833333333334,4.569833333333333,104.89966666666668,0.0,0.0,0.0,0.0,0.0,1.0003910521633612
react_271,1.682173689590169,3.0920278121955644,3.695127487066339,19.07967801083953,55.83675690817196,150.39046809666044,3.123483129017598,4.731971531402651,6.059324808408839,0.0007489498422992,47.303658876825736,137.62859693142207,1.6821608661857423,3.0919648605197425,3.695174750662964,10.823412853199224,55.95561768100869,150.8990684745946,-5.557,-0.8566,-0.01306,-0.22612,8.66,8.41,8.12,-0.24982,0.03702,144.009,28.894,72.721,61.038,32.45,0.0,0.0,0.0,0.0,0.0,187.936,28.695,107.677,14.803999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.9807475549421134
react_272,2.223821494336763,3.10013058000705,8.16718327820264,26.982855759435623,23.62639359309074,141.87491667333924,1.6821692885790325,3.091951890950982,3.6950135316723087,10.82383261277106,56.12724654085594,147.62582798001046,1.6822658763599443,3.091933259194939,3.6951661544884655,19.08010199414352,55.58929189747144,150.92849176608652,-5.4567,-0.6793,-0.21922,-0.02168,8.59,8.37,8.0,-0.25054,0.03597,183.3266,20.9123,83.90530000000001,4.8789,18.6733,25.1184,2.2421,0.0,0.0,0.0,142.2542,45.2792,31.4078,71.8812,2.2007,22.6651,21.126600000000003,2.2421,0.0,0.0,1.0652183341811152
react_273,2.273832182169301,5.210498221835654,8.156602967224368,45.31068021590598,21.858091487744176,141.8855010010547,1.6822314745862568,3.0920024230122864,3.695047829798778,19.079679653582744,55.58208400995576,146.43511181982728,1.6822477993759926,3.092080304441925,3.695061752319425,10.82418632970172,55.58124710057697,149.0642462867225,-5.2154,-0.654,-0.21493,-0.02654,8.72,8.4,8.03,-0.25078,0.04459,184.3104,20.3351,80.35225,31.2568,35.81705,25.28845,2.2947,0.0,0.0,0.0,142.14495000000005,39.55215,42.1738,73.0044,19.0861,41.913050000000005,19.3684,2.4119,0.0,0.0,0.47073743503081006
react_274,1.6821453617789943,3.0920838923368525,3.695072220863036,19.079400264958245,55.68030549434951,147.27759486323814,0.0002808910423846,3.1017866410553783,6.063044035337193,0.0014433824435225,48.670727537135,145.99018150191236,1.6821437984826748,3.0920337254645496,3.694948469223749,10.824514488024766,55.98179649754211,151.70272587563375,-5.9529,-0.9594,-0.01052,-0.22219,8.51,8.3,7.99,-0.24069,0.0439,141.599,47.69544444444445,24.43155555555556,78.98622222222222,5.497333333333334,0.0,0.0,0.0,0.0,0.0,189.95877777777773,14.181222222222225,86.2671111111111,7.802444444444443,0.0,0.0,0.0,0.0,0.0,0.0,1.3124740889232647
react_276,2.465742568961613,3.113551056692711,6.907492349432574,22.54435273492389,27.804014288602204,142.0698863753954,1.682182363625732,3.091968803693666,3.695169827956217,10.823423095301544,55.651456374021706,147.88091152042315,1.682306631267707,3.0919923729555143,3.695083841594864,19.08058515234673,55.76490211664665,144.24914562425806,-5.3915,-0.8182,-0.21988,-0.02017,8.59,8.34,7.97,-0.2622,0.03925,179.5258,24.645,80.144,21.1044,35.964800000000004,4.724,0.0,0.0,0.0,0.0,142.7146,36.120000000000005,47.2288,66.6898,12.666,37.8522,2.8366,0.0,0.0,0.0,0.8049292671218362
