,b1,b5,l,vol,espmin,espmax,b1^2,b1 b5,b1 l,b1 vol,b1 espmin,b1 espmax,b5^2,b5 l,b5 vol,b5 espmin,b5 espmax,l^2,l vol,l espmin,l espmax,vol^2,vol espmin,vol espmax,espmin^2,espmin espmax,espmax^2,ddG er (kcal/mol)
react_222,3.098023665103179,5.374606029917487,7.01353428897322,33.3514750331844,41.54435983933523,140.80801402997878,9.597750629539336,16.65065667129062,21.728095203251637,103.3236589189031,128.70540993382264,436.2265597010547,28.886389976825413,37.694983680548525,179.2510388199954,223.284566901553,756.7876012662301,49.189663222603095,233.91171373307307,291.3727922466196,987.5618345614785,1112.3208868891224,1385.5656799512176,4696.154964393116,1725.93383446017,5849.778803123601,19826.8968150667,1.988440635339029
react_223,1.6806376540862478,6.341604427297431,6.52213697300012,36.17050845510795,40.46054920433637,141.2024925865861,2.824542924332526,10.657939187836117,10.961348981932103,60.78951847709941,67.99952249781707,237.31022589185085,40.21594671231837,41.36081270341782,229.37905655651173,256.58479796510505,895.450352132527,42.53827069457517,235.909010527273,263.8892439134928,920.9419975787486,1308.3056819010358,1463.4786370937597,5107.36595198543,1637.0560419165242,5713.130399074507,19938.1439126649,0.1751890076501606
react_224,1.7116078243723116,4.844201119866754,6.846159382062673,16.727746347018677,31.284190902563505,142.86982603383458,2.929601344452518,8.29137253959705,11.717939965238381,28.631341531672522,53.546265927984784,244.53711210622225,23.466284489718312,33.16417294537428,81.03256758707488,151.54691260432344,692.0901712682698,46.869898284604766,114.52081759440652,214.17655705782488,978.1095999151986,279.8174978501967,523.3140100897916,2389.89021053667,978.7006004280372,4469.566911858518,20411.787190938157,0.8800804961461687
react_225,2.5205065034212404,3.095974024659048,8.289247947855408,26.820777445257352,39.301943393942345,142.66551384530203,6.352953033788768,7.803422663576362,20.893103361040726,67.60194397758488,99.06080392152514,359.5893554610168,9.585055161363545,25.663296330518662,83.03643029167803,121.67779586626577,441.68872507969087,68.7116315410251,222.32407439798612,325.783553624966,1182.5898178719071,719.3541027680255,1054.10867693503,3826.3999959581274,1544.6427545406484,5607.031949415758,20353.448840744066,2.494054670518096
react_226,3.1237128942360664,3.150168021862544,5.811868747778311,56.87431967619973,45.59400750875778,139.83594940270618,9.757582245616662,9.840220468902151,18.15460934704273,177.6590457234491,142.4225891550027,436.80735822697545,9.923558565965374,18.308363076513544,179.16366310915208,143.62878444264948,440.50673611519375,33.77781834140223,330.5460810772583,264.986387326119,812.7081841494972,3234.68823863056,2593.1281583721407,7953.074488554402,2078.8135207086607,6375.681327061258,19554.092745356204,1.4470889050346116
react_227,2.793089337439093,6.561411284913918,6.739144062498542,93.27468409647068,19.4511823456874,139.5592773402767,7.80134804691595,18.3266078984456,18.82303142443065,260.52452560285195,54.328890010323,389.8015294798321,43.05211804979571,44.21829590233856,612.0135648273634,127.62720734791168,915.7058172549229,45.41606269510935,628.5915335101575,131.0843200135157,940.510075254313,8700.1666932964,1814.3028885968397,13017.347506646049,378.3484946451812,2714.5929515780817,19476.79189174027,1.5981284553068844
react_228,3.076538051504874,7.5195057873388755,6.121492346996835,0.0081587265931338,10.751287591159958,144.6459897660616,9.465086382357406,23.134045683259167,18.83300413753164,0.025100632815600862,33.076745376875785,445.0088915128731,56.54296728582284,46.03059713039333,0.0613495918343852,80.84436926307194,1087.66635716126,37.472668554340814,0.04994358240110812,65.81392470964772,885.4493193767286,6.656481962150868e-05,0.08771681598042619,1.1801270832945263,115.59018486783009,1555.1306348829085,20922.462355403597,1.6973122680433244
react_229,3.108616087146151,7.435764188263935,6.048847387412483,31.515113041231285,32.07301548577827,141.28821012904768,9.663493977263846,23.114936175862507,18.80354429720241,97.96838738820102,99.70269190237795,439.21080293124334,55.29058906346842,44.97780278359561,234.3389489410773,238.4873799587847,1050.5858131014825,36.58855471620682,190.63010918346092,194.00477592759,854.630820711276,993.2023500015862,1010.7847086074637,4452.713913610177,1028.6783223509728,4531.538951426841,19962.358321469932,2.5517882814393
react_23,3.0781072983747846,6.34979570992042,6.50372528407045,18.16064519284572,43.79684693319231,138.7673905736042,9.474744540308116,19.54535251789494,20.019164263521873,55.90041451129336,134.81139419086256,427.14091770103533,40.319905557723764,41.297326907291506,115.31638693491865,278.10103076442584,881.1445813411232,42.29844257065726,118.11184731574319,284.8426607619662,902.504986678029,329.8090338204304,795.3789977190788,2520.1053445442694,1918.1638012894769,6077.574164270656,19256.388686607213,2.5830854507418013
react_230,3.1082860285906846,6.529655756925048,6.047211683168968,20.12506637216325,41.08063241252548,132.04430946907334,9.66144203553205,20.296037760756857,18.79646358672446,62.554462629055244,127.69035577352258,410.4314822776253,42.636404303944424,39.48621058034866,131.40975549549447,268.2423879305687,862.2038854939274,36.56876914105527,121.70053649029653,248.4232802769939,798.4998909173592,405.0182964839761,826.7504539125163,2657.4004921315654,1687.6183594130391,5424.46373946476,17435.69966316441,2.0111536403510075
react_231,1.6734240899738315,7.884371862228857,5.248302543259904,40.11807484472316,1.4901363193771144,146.12514071642155,2.8003481849047462,13.193897808565609,8.782635907362051,67.13455288853292,2.4936300141906025,244.5293306256758,62.16331966190614,41.37956889654254,316.3058204725266,11.748788867382194,1152.1049478287864,27.54467958558838,210.55179423825177,7.820686234790863,766.9089476562067,1609.4599292468092,59.78140038961137,5862.259331957103,2.2205062503267734,217.74637935563135,21352.556749394,0.3843756656061347
react_232,3.096511713929477,7.844461856444362,6.704784252539404,31.89070176297547,41.76928646693579,140.97921172806988,9.588384794502467,24.290468027952937,20.761442977358154,98.74993157448496,129.33908482734265,436.5437805365123,61.53558181721052,52.595424324734175,250.16539355490403,327.6575744607755,1105.9060489524377,44.95413187310037,213.82027498282855,280.0540541433183,945.2351987297814,1017.0168589350468,1332.0518575693366,4495.9259959992505,1744.6732919569451,5888.601080552545,19875.138139467956,2.329247163126845
react_233,3.108367853960513,7.309214209104683,6.046869659007911,31.14425993126613,31.01258880288885,139.95679988256722,9.661950715535085,22.71972648529241,18.79589526514936,96.8078164057381,96.39853410299544,435.03721769815644,53.424612354577796,44.19786563222461,227.64006722166005,226.67765473919596,1022.974230362481,36.56463267303045,188.325280430629,187.52908227947708,846.3005267817377,969.964926666269,965.8641268186439,4358.850954690871,961.7806642570669,4340.4226849262595,19587.905833368968,2.112330669903123
react_234,1.6668503376180692,6.086715401807381,4.374872722017953,42.55528782871155,22.955647654910543,137.85294386577516,2.7783900480174712,10.145643622487736,7.292258073731706,70.93329588472196,38.26362904382908,229.78022602431207,37.048104382599185,26.628605178053654,259.02192585536477,139.7244941396075,839.071636612302,19.139511333856774,186.17396789945275,100.42803674172352,603.0890837682518,1810.9525221844854,976.8841932492054,5866.371704243278,526.9617592563999,3164.5036075748963,19003.434132460556,0.1751890076501606
react_235,1.6406791755005992,8.058243098678963,5.58383035991086,46.30263142937533,27.2838699327216,148.22268580773294,2.691828156921326,13.220991643123995,9.161274191033764,75.96776315705564,44.764077225683266,243.18587394151564,64.93528183740713,44.995862461945755,373.1178601664394,219.8600565906083,1194.4144349778242,31.179161488262245,258.54603911910874,152.34850126618994,827.6503330407478,2143.9336772845763,1263.3149734618237,6863.10039042756,744.4095585056698,4044.0884806568456,21969.964588057916,1.988440635339029
react_236,2.726029393727637,8.007499572153632,6.047738938111117,0.0095651822072699,29.72560867410048,132.133940913595,7.431236255467069,21.82867920395228,16.48631411088207,0.026074967853378345,81.03288299204313,360.20100683953086,64.1200493980406,48.42726695942163,0.07659319243228525,238.02779873986591,1058.0624753325853,36.57514626354538,0.057847724885033806,179.77272103741103,799.1115795092221,9.149271065827266e-05,0.2843308631897737,1.2638852206031712,883.6118110457578,3927.7618201642404,17459.378341357417,2.494054670518096
